"No","Name","Games","Age","Date.of.Birth","Height","Weight","Origin","Position","Team"
15,"Short, Jayden",178,"29yr 2mth","24 Jan 1996","178cm","75kg","Northern Knights","Defender","Richmond Tigers"
13,"Soldo, Ivan",66,"28yr 11mth","14 Apr 1996","204cm","110kg","Daramalan College","Ruck","Richmond Tigers"
40,"Sonsie, Tyler",26,"22yr 2mth","27 Jan 2003","181cm","77kg","Eastern Ranges","Forward","Richmond Tigers"
44,"Stack, Sydney R",35,"24yr 11mth","28 Apr 2000","179cm","75kg","Federals FC","Defender","Richmond Tigers"
6,"Tarrant, Robbie",194,"35yr 11mth","25 Apr 1989","196cm","96kg","Bendigo Pioneers","Defender","Richmond Tigers"
1,"Vlastuin, Nick",236,"30yr 11mth","19 Apr 1994","187cm","88kg","Northern Knights","Defender","Richmond Tigers"
27,"Adams, Oscar",0,"21yr 8mth","23 Jul 2003","197cm","83kg","Glenelg","Defender","St Kilda Saints"
30,"Allison, Matthew",0,"23yr 2mth","29 Jan 2002","195cm","88kg","Calder Cannons","Forward","St Kilda Saints"
24,"Battle, Josh",127,"26yr 7mth","1 Sep 1998","193cm","93kg","Dandenong Stingrays","Defender","St Kilda Saints"
14,"Billings, Jack",172,"29yr 7mth","18 Aug 1995","185cm","81kg","Oakleigh Chargers","Midfield Forward","St Kilda Saints"
16,"Butler, Daniel",145,"28yr 9mth","3 Jun 1996","182cm","81kg","North Ballarat Rebels","Forward","St Kilda Saints"
13,"Byrnes, Ryan",66,"23yr 10mth","3 May 2001","181cm","84kg","Sandringham Dragons","Midfield","St Kilda Saints"
27,"Bytel, Jack R",29,"25yr","14 Mar 2000","189cm","82kg","Calder Cannons","Midfield","St Kilda Saints"
29,"Campbell, Tom",58,"33yr 4mth","2 Nov 1991","201cm","108kg","Bendigo Bombers","Ruck","St Kilda Saints"
11,"Clark, Hunter",100,"26yr","26 Mar 1999","186cm","83kg","Dandenong Stingrays","Midfield","St Kilda Saints"
17,"Coffield, Nicholas",60,"25yr 5mth","23 Oct 1999","191cm","90kg","Northern Knights","Defender","St Kilda Saints"
37,"Connolly, Leo",7,"23yr 7mth","7 Aug 2001","181cm","77kg","Gippsland Power","Defender","St Kilda Saints"
5,"Crouch, Brad R",161,"31yr 2mth","14 Jan 1994","186cm","86kg","North Ballarat Rebels","Midfield","St Kilda Saints"
14,"Geary, Jarryn",207,"36yr 9mth","23 Jun 1988","183cm","82kg","Bendigo Pioneers","Midfield","St Kilda Saints"
11,"Gresham, Jade",161,"27yr 7mth","24 Aug 1997","177cm","81kg","Northern Knights","Forward","St Kilda Saints"
10,"Hannebery, Daniel",226,"34yr 1mth","24 Feb 1991","181cm","81kg","Oakleigh Chargers","Midfield","St Kilda Saints"
18,"Hayes, Jack R",8,"29yr","6 Mar 1996","194cm","94kg","Woodville-West Torrens","Forward","St Kilda Saints"
42,"Heath, Max R",0,"22yr 5mth","24 Oct 2002","204cm","97kg","Sandringham Dragons","Forward Ruck","St Kilda Saints"
1,"Higgins, Jack",125,"26yr","19 Mar 1999","178cm","82kg","Oakleigh Chargers","Forward","St Kilda Saints"
34,"Highmore, Tom",16,"27yr 1mth","24 Feb 1998","193cm","86kg","South Adelaide","Defender","St Kilda Saints"
8,"Hill, Bradley",258,"31yr 8mth","9 Jul 1993","182cm","81kg","West Perth","Midfield Forward","St Kilda Saints"
20,"Howard, Dougal",135,"29yr","25 Mar 1996","199cm","94kg","Murray Bushrangers","Defender","St Kilda Saints"
3,"Jones, Zak",152,"30yr","15 Mar 1995","182cm","84kg","Dandenong Stingrays","Midfield","St Kilda Saints"
41,"Joyce, Darragh R",24,"27yr 11mth","23 Apr 1997","195cm","96kg","Kilkenny","Defender","St Kilda Saints"
25,"Kent, Dean",100,"31yr 1mth","24 Feb 1994","181cm","83kg","Perth","Forward","St Kilda Saints"
12,"King, Max",83,"24yr 8mth","7 Jul 2000","202cm","100kg","Sandringham Dragons","Forward","St Kilda Saints"
46,"Kyle, Josiah R",0,"21yr 8mth","31 Jul 2003","182cm","72kg","Dandenong Stringrays","Forward","St Kilda Saints"
31,"Lienert, Jarrod",34,"30yr 7mth","5 Aug 1994","195cm","88kg","Sturt Fc","Defender","St Kilda Saints"
22,"Long, Ben",113,"27yr 7mth","21 Aug 1997","186cm","81kg","Nt Thunder","Forward","St Kilda Saints"
19,"Marshall, Rowan",136,"29yr 4mth","24 Nov 1995","201cm","105kg","North Ballarat","Ruck","St Kilda Saints"
36,"McKenzie, Daniel",73,"28yr 10mth","17 May 1996","184cm","81kg","Oakleigh Chargers","Midfield","St Kilda Saints"
28,"Membrey, Tim",182,"30yr 10mth","26 May 1994","188cm","92kg","Gippsland Power","Forward","St Kilda Saints"
10,"Owens, Mitchito",55,"21yr 6mth","24 Sep 2003","191cm","91kg","Sandringham Dragons","Forward","St Kilda Saints"
25,"Paton, Ben R",73,"26yr 5mth","19 Oct 1998","187cm","82kg","Murray Bushrangers","Defender Forward","St Kilda Saints"
45,"Peris, Jack R",1,"21yr 3mth","17 Dec 2003","178cm","69kg","Sandringham Dragons","Midfield Forward","St Kilda Saints"
6,"Ross, Sebastian",211,"31yr 10mth","7 May 1993","187cm","90kg","North Ballarat Rebels","Midfield","St Kilda Saints"
18,"Ryder, Patrick",281,"37yr","14 Mar 1988","197cm","95kg","East Fremantle","Ruck","St Kilda Saints"
43,"Sharman, Cooper R",50,"24yr 8mth","25 Jul 2000","193cm","88kg","Woodville-West Torrens","Forward","St Kilda Saints"
35,"Sinclair, Jack",190,"30yr 1mth","12 Feb 1995","181cm","82kg","Oakleigh Chargers","Defender Midfield","St Kilda Saints"
9,"Steele, Jack",183,"29yr 3mth","13 Dec 1995","187cm","90kg","Belconnen","Midfield","St Kilda Saints"
7,"Wanganeen-Milera, Nasiah",66,"22yr 1mth","22 Feb 2003","187cm","76kg","Glenelg","Defender","St Kilda Saints"
29,"Webster, Jimmy",168,"31yr 9mth","28 Jun 1993","188cm","84kg","Glenorchy","Defender","St Kilda Saints"
44,"Wilkie, Callum",135,"29yr","10 Mar 1996","191cm","88kg","North Adelaide","Defender","St Kilda Saints"
2,"Windhager, Marcus",55,"21yr 10mth","16 May 2003","185cm","85kg","Sandringham Dragons","Midfield","St Kilda Saints"
32,"Wood, Mason",138,"31yr 6mth","13 Sep 1993","192cm","86kg","Geelong Falcons","Midfield Forward","St Kilda Saints"
36,"Amartey, Joel",56,"25yr 6mth","2 Sep 1999","195cm","100kg","Sandringham Dragons","Forward","Sydney Swans"
32,"Bell, James",28,"26yr 1mth","10 Feb 1999","183cm","84kg","Swans Academy","Forward","Sydney Swans"
22,"Blakey, Nick",131,"25yr 1mth","27 Feb 2000","196cm","83kg","UNSW","Defender","Sydney Swans"
16,"Campbell, Braeden",74,"23yr 1mth","4 Feb 2002","181cm","80kg","Sydney Academy","Midfield","Sydney Swans"
4,"Clarke, Ryan",97,"27yr 9mth","17 Jun 1997","186cm","83kg","Eastern Ranges","Forward","Sydney Swans"
7,"Cunningham, Harry",208,"31yr 3mth","6 Dec 1993","181cm","78kg","Turvey Park","Defender","Sydney Swans"
13,"Florent, Oliver",171,"26yr 8mth","22 Jul 1998","184cm","84kg","Sandringham Dragons","Defender","Sydney Swans"
42,"Fox, Robbie",105,"31yr 11mth","16 Apr 1993","185cm","84kg","Coburg","Defender Forward","Sydney Swans"
23,"Franklin, Lance",354,"38yr 2mth","30 Jan 1987","199cm","106kg","Perth","Forward","Sydney Swans"
17,"Gould, Will",4,"24yr 2mth","14 Jan 2001","191cm","97kg","Glenelg","Defender","Sydney Swans"
21,"Gulden, Errol",93,"22yr 8mth","18 Jul 2002","175cm","77kg","Sydney Academy","Midfield","Sydney Swans"
45,"Hall-Kahan, Hugo R",0,"21yr 6mth","22 Sep 2003","188cm","78kg","Sandringham Dragons","Forward","Sydney Swans"
9,"Hayward, Will",166,"26yr 5mth","26 Oct 1998","186cm","83kg","North Adelaide","Forward","Sydney Swans"
5,"Heeney, Isaac",204,"28yr 10mth","5 May 1996","185cm","88kg","Cardiff","Midfield","Sydney Swans"
31,"Hickey, Tom",151,"34yr","6 Mar 1991","202cm","97kg","Morningside","Ruck","Sydney Swans"
12,"Kennedy, Josh P.",290,"36yr 9mth","20 Jun 1988","188cm","96kg","Sandringham Dragons","Midfield","Sydney Swans"
19,"Ladhams, Peter",54,"27yr 2mth","14 Jan 1998","204cm","103kg","Norwood","Forward Ruck","Sydney Swans"
44,"Lloyd, Jake",252,"31yr 6mth","20 Sep 1993","182cm","81kg","North Ballarat Rebels","Defender Midfield","Sydney Swans"
42,"McAndrew, Lachlan R",2,"24yr 10mth","26 May 2000","209cm","101kg","Sydney","Ruck","Sydney Swans"
39,"McCartin, Patrick R",63,"28yr 11mth","19 Apr 1996","195cm","95kg","Geelong Falcons","Defender","Sydney Swans"
30,"McCartin, Tom",135,"25yr 3mth","30 Dec 1999","194cm","99kg","Geelong Falcons","Defender","Sydney Swans"
6,"McDonald, Logan",70,"22yr 11mth","4 Apr 2002","195cm","95kg","Perth Fc","Forward","Sydney Swans"
27,"McInerney, Justin",94,"24yr 7mth","18 Aug 2000","189cm","83kg","Northern Knights","Midfield","Sydney Swans"
2,"McLean, Hayden R",80,"26yr 2mth","20 Jan 1999","197cm","99kg","Sandringham","Forward","Sydney Swans"
43,"Melican, Lewis",86,"28yr 4mth","4 Nov 1996","194cm","99kg","Geelong Falcons","Defender","Sydney Swans"
14,"Mills, Callum",162,"27yr 11mth","2 Apr 1997","188cm","86kg","North Shore","Defender","Sydney Swans"
24,"Naismith, Sam",33,"32yr 8mth","16 Jul 1992","205cm","108kg","North Shore","Ruck","Sydney Swans"
35,"O'Connor, Barry R",0,"26yr 9mth","26 Jun 1998","193cm","93kg","Count Wexford","Defender","Sydney Swans"
38,"O'Riordan, Colin",34,"29yr 5mth","12 Oct 1995","186cm","87kg","County Tipperary","Defender","Sydney Swans"
11,"Papley, Tom",188,"28yr 8mth","13 Jul 1996","177cm","77kg","Gippsland Power","Forward","Sydney Swans"
26,"Parker, Luke",296,"32yr 5mth","25 Oct 1992","183cm","88kg","Dandenong Stingrays","Midfield Forward","Sydney Swans"
24,"Rampe, Dane",254,"34yr 9mth","2 Jun 1990","187cm","89kg","Williamstown","Defender","Sydney Swans"
41,"Rankin, Lachlan",0,"22yr 1mth","5 Feb 2003","184cm","73kg","Oakleigh Chargers","Defender","Sydney Swans"
20,"Reid, Sam",181,"33yr 3mth","27 Dec 1991","196cm","96kg","Murray Bushrangers","Forward","Sydney Swans"
34,"Roberts, Matthew",33,"21yr 8mth","31 Jul 2003","184cm","86kg","South Adelaide","Defender","Sydney Swans"
25,"Ronke, Ben",44,"27yr 3mth","18 Dec 1997","183cm","80kg","Calder Cannons","Forward","Sydney Swans"
8,"Rowbottom, James",120,"24yr 6mth","19 Sep 2000","186cm","82kg","Oakleigh Chargers","Midfield","Sydney Swans"
33,"Sheather, Marc R",3,"22yr 9mth","11 Jun 2002","185cm","87kg","Pennant Hills","Defender Forward","Sydney Swans"
12,"Sheldrick, Angus",11,"21yr 4mth","7 Nov 2003","178cm","86kg","Claremont","Midfield","Sydney Swans"
18,"Sinclair, Callum",118,"35yr 6mth","23 Sep 1989","199cm","98kg","Subiaco","Forward Ruck","Sydney Swans"
15,"Stephens, Dylan",61,"24yr 2mth","8 Jan 2001","184cm","80kg","Norwood","Midfield","Sydney Swans"
28,"Taylor, Lewis R",124,"30yr 1mth","17 Feb 1995","174cm","82kg","Geelong Falcons","Midfield Forward","Sydney Swans"
1,"Warner, Chad",88,"23yr 10mth","19 May 2001","185cm","82kg","East Fremantle","Midfield","Sydney Swans"
37,"Warner, Corey",12,"21yr 5mth","7 Oct 2003","182cm","77kg","East Fremantle","Forward","Sydney Swans"
15,"Wicks, Sam R",69,"25yr 6mth","14 Sep 1999","181cm","82kg","Swans Academy","Forward","Sydney Swans"
46,"Ainsworth, Brayden",15,"26yr 4mth","21 Nov 1998","184cm","80kg","Subiaco","Midfield Forward","West Coast Eagles"
12,"Allen, Oscar",96,"26yr","19 Mar 1999","196cm","96kg","West Perth","Forward","West Coast Eagles"
37,"Barrass, Tom",154,"29yr 5mth","8 Oct 1995","197cm","96kg","Claremont","Defender","West Coast Eagles"
33,"Bazzo, Rhett",21,"21yr 5mth","17 Oct 2003","195cm","86kg","Swan Districts","Defender","West Coast Eagles"
47,"Black, Aaron",1,"32yr 3mth","25 Dec 1992","180cm","81kg","West Perth","Midfield","West Coast Eagles"
18,"Chesser, Campbell",32,"21yr 11mth","27 Apr 2003","186cm","85kg","Sandringham Dragons","Midfield","West Coast Eagles"
39,"Clark, Greg",21,"27yr 10mth","24 May 1997","195cm","94kg","Subiaco","Midfield","West Coast Eagles"
28,"Cole, Tom",116,"27yr 10mth","28 May 1997","188cm","83kg","Sandhurst Football Netball Club","Defender","West Coast Eagles"
15,"Cripps, Jamie",254,"32yr 11mth","23 Apr 1992","184cm","83kg","East Fremantle","Forward","West Coast Eagles"
46,"Culley, Jai R",12,"22yr 1mth","24 Feb 2003","194cm","91kg","Dandenong Stingrays","Midfield Forward","West Coast Eagles"
28,"Darling, Jack",301,"32yr 9mth","13 Jun 1992","191cm","95kg","West Perth","Forward","West Coast Eagles"
49,"Dewar, Angus",26,"32yr 5mth","12 Oct 1992","192cm","88kg","Claremont","Defender","West Coast Eagles"
41,"Dixon, Hugh R",11,"26yr 1mth","26 Feb 1999","196cm","96kg","Tigers Football Club","Forward Ruck","West Coast Eagles"
14,"Duggan, Liam",182,"28yr 3mth","11 Dec 1996","186cm","83kg","Western Jets","Defender","West Coast Eagles"
42,"Edwards, Harry",42,"24yr 6mth","1 Oct 2000","200cm","98kg","Swan Districts","Defender","West Coast Eagles"
16,"Edwards, Luke",37,"23yr 2mth","12 Jan 2002","189cm","84kg","Glenelg","Midfield Forward","West Coast Eagles"
53,"Fisher, Samuel",0,"27yr 1mth","23 Feb 1998","181cm","78kg","Canberra Demons","Midfield","West Coast Eagles"
46,"Florenca, Jake",1,"27yr 10mth","15 May 1997","184cm","86kg","South Fremantle","Midfield","West Coast Eagles"
29,"Foley, Luke",32,"25yr 5mth","8 Oct 1999","189cm","81kg","Subiaco","Defender","West Coast Eagles"
3,"Gaff, Andrew",280,"32yr 9mth","16 Jun 1992","184cm","83kg","Oakleigh Chargers","Midfield","West Coast Eagles"
48,"Giro, Stefan R",15,"26yr","10 Mar 1999","175cm","77kg","Norwood","Midfield","West Coast Eagles"
19,"Hough, Brady",56,"22yr","5 Mar 2003","191cm","81kg","Peel Thunder","Defender","West Coast Eagles"
25,"Hurn, Shannon",333,"37yr 6mth","4 Sep 1987","187cm","95kg","Central District","Defender","West Coast Eagles"
40,"Jamieson, Callum",17,"24yr 8mth","31 Jul 2000","201cm","98kg","Claremont","Defender","West Coast Eagles"
31,"Jones, Jamaine",66,"26yr 6mth","29 Sep 1998","180cm","80kg","North Ballarat Rebels","Defender Forward","West Coast Eagles"
38,"Joyce, Tom",0,"25yr","7 Mar 2000","180cm","86kg","East Fremantle","Midfield","West Coast Eagles"
11,"Kelly, Tim",147,"30yr 8mth","26 Jul 1994","184cm","83kg","South Fremantle","Midfield","West Coast Eagles"
17,"Kennedy, Joshua",293,"37yr 7mth","25 Aug 1987","196cm","102kg","East Fremantle","Forward","West Coast Eagles"
7,"Langdon, Zac",56,"29yr 4mth","13 Nov 1995","177cm","81kg","Claremont","Forward","West Coast Eagles"
20,"McGovern, Jeremy",194,"32yr 11mth","15 Apr 1992","197cm","97kg","Claremont","Defender","West Coast Eagles"
57,"Meadows, Luke",0,"30yr 4mth","16 Nov 1994","185cm","86kg","West Perth","Midfield","West Coast Eagles"
47,"Mountford, Declan",14,"28yr 1mth","13 Feb 1997","181cm","76kg","Claremont","Defender Midfield","West Coast Eagles"
43,"Naish, Patrick",20,"26yr 2mth","15 Jan 1999","182cm","75kg","Northern Knights","Midfield Forward","West Coast Eagles"
9,"Naitanui, Nicholas",213,"34yr 10mth","4 May 1990","202cm","112kg","Swan Districts","Ruck","West Coast Eagles"
30,"Nelson, Jackson",102,"29yr","15 Mar 1996","187cm","85kg","Geelong Falcons","Defender Midfield","West Coast Eagles"
24,"O'Neill, Xavier",39,"24yr 7mth","3 Aug 2000","186cm","84kg","Oakleigh Chargers","Midfield Forward","West Coast Eagles"
10,"Petrevski-Seton, Sam",121,"27yr 1mth","19 Feb 1998","182cm","81kg","Claremont","Forward","West Coast Eagles"
21,"Petruccelle, Jack",89,"25yr 11mth","12 Apr 1999","188cm","83kg","Northern Knights","Forward","West Coast Eagles"
8,"Redden, Jack",263,"34yr 3mth","9 Dec 1990","190cm","85kg","Glenelg Football Club","Midfield","West Coast Eagles"
15,"Rioli, Willie",93,"29yr 9mth","4 Jun 1995","175cm","78kg","Glenelg","Forward","West Coast Eagles"
35,"Rotham, Josh",72,"27yr 1mth","25 Feb 1998","193cm","88kg","West Perth","Defender","West Coast Eagles"
1,"Ryan, Liam",107,"28yr 5mth","2 Oct 1996","181cm","76kg","Subiaco","Forward","West Coast Eagles"
48,"Schumacher, Angus",1,"26yr","16 Mar 1999","190cm","84kg","Bendigo Pioneers","Defender","West Coast Eagles"
4,"Sheed, Dominic",165,"29yr 11mth","10 Apr 1995","186cm","86kg","Subiaco","Midfield","West Coast Eagles"
13,"Shuey, Luke",248,"34yr 9mth","2 Jun 1990","184cm","89kg","Oakleigh Chargers","Midfield","West Coast Eagles"
34,"Strnadica, Luke R",2,"27yr 3mth","1 Jan 1998","200cm","100kg","East Fremantle","Ruck","West Coast Eagles"
26,"Trew, Zane R",13,"22yr 11mth","26 Apr 2002","187cm","82kg","Swan Districts","Midfield","West Coast Eagles"
2,"Waterman, Jake",105,"26yr 10mth","6 May 1998","192cm","92kg","Claremont","Forward","West Coast Eagles"
36,"West, Connor R",28,"25yr 10mth","7 May 1999","182cm","81kg","West Perth","Midfield Forward","West Coast Eagles"
32,"Williams, Bailey J.",74,"24yr 11mth","17 Apr 2000","201cm","101kg","Dandenong Stingrays","Ruck","West Coast Eagles"
34,"Williams, Jack",30,"21yr 4mth","1 Dec 2003","198cm","99kg","East Fremantle","Forward","West Coast Eagles"
22,"Winder, Isiah R",7,"22yr 10mth","16 May 2002","180cm","80kg","Peel Thunder","Forward","West Coast Eagles"
23,"Witherden, Alex",121,"26yr 6mth","10 Sep 1998","188cm","85kg","Geelong Falcons","Defender","West Coast Eagles"
6,"Yeo, Elliot",212,"31yr 6mth","1 Oct 1993","191cm","91kg","East Fremantle","Midfield","West Coast Eagles"
58,"Young, Logan",0,"23yr","14 Mar 2002","190cm","84kg","Claremont","Midfield","West Coast Eagles"
26,"Bedendo, Dominic",2,"22yr 8mth","9 Jul 2002","191cm","80kg","Murray Bushrangers","Midfield","Western Bulldogs"
4,"Bontempelli, Marcus",240,"29yr 4mth","24 Nov 1995","194cm","96kg","Northern Knights","Midfield","Western Bulldogs"
17,"Bruce, Josh",163,"32yr 9mth","8 Jun 1992","198cm","97kg","Canberra","Defender Forward","Western Bulldogs"
18,"Butler, Louis",4,"23yr 7mth","26 Aug 2001","185cm","79kg","Sandringham Dragons","Midfield","Western Bulldogs"
36,"Cleary, Luke",8,"23yr","5 Mar 2002","191cm","81kg","Sandringham Dragons","Defender","Western Bulldogs"
21,"Cordy, Zaine",141,"28yr 5mth","27 Oct 1996","195cm","92kg","Geelong Falcons","Defender","Western Bulldogs"
9,"Crozier, Hayden",142,"31yr 3mth","24 Dec 1993","187cm","81kg","Eastern Ranges","Defender","Western Bulldogs"
31,"Dale, Bailey",158,"28yr 8mth","22 Jul 1996","188cm","85kg","Dandenong Stingrays","Defender","Western Bulldogs"
5,"Daniel, Caleb",195,"28yr 8mth","7 Jul 1996","171cm","72kg","South Adelaide","Midfield Forward","Western Bulldogs"
10,"Darcy, Sam",31,"21yr 8mth","19 Jul 2003","208cm","97kg","Oakleigh Chargers","Forward","Western Bulldogs"
5,"Dunkley, Josh",170,"28yr 2mth","9 Jan 1997","191cm","87kg","Gippsland Power","Midfield","Western Bulldogs"
15,"Duryea, Taylor R",216,"33yr 11mth","24 Apr 1991","181cm","81kg","Murray Bushrangers","Defender","Western Bulldogs"
44,"English, Timothy",134,"27yr 7mth","10 Aug 1997","208cm","107kg","South Fremantle","Ruck","Western Bulldogs"
38,"Garcia, Riley",31,"24yr 2mth","30 Jan 2001","178cm","75kg","Swan Districts","Forward","Western Bulldogs"
43,"Gardner, Ryan",53,"27yr 10mth","1 Jun 1997","197cm","94kg","Burnie Dockers","Defender","Western Bulldogs"
29,"Hannan, Mitchell",80,"31yr","9 Mar 1994","190cm","88kg","Footscray","Defender","Western Bulldogs"
12,"Hunter, Lachlan",199,"30yr 3mth","13 Dec 1994","183cm","82kg","Western Jets","Midfield","Western Bulldogs"
39,"Johannisen, Jason",196,"32yr 4mth","8 Nov 1992","181cm","82kg","East Fremantle","Defender","Western Bulldogs"
32,"Jones, Arthur",16,"21yr 8mth","18 Jul 2003","180cm","71kg","Claremont","Forward","Western Bulldogs"
42,"Keath, Alex",109,"33yr 2mth","20 Jan 1992","198cm","93kg","Murray Bushrangers","Defender","Western Bulldogs"
24,"Khamis, Buku",29,"25yr","24 Mar 2000","191cm","87kg","Western Jets","Defender","Western Bulldogs"
21,"Liberatore, Thomas",237,"32yr 10mth","16 May 1992","184cm","85kg","Calder Cannons","Midfield","Western Bulldogs"
6,"Macrae, Jackson",252,"30yr 7mth","3 Aug 1994","192cm","89kg","Oakleigh Chargers","Forward","Western Bulldogs"
8,"Martin, Stefan",203,"38yr 4mth","17 Nov 1986","198cm","99kg","Sandringham","Ruck","Western Bulldogs"
27,"McComb, Robbie R",18,"29yr 3mth","19 Dec 1995","181cm","82kg","Footscray","Midfield Forward","Western Bulldogs"
16,"McLean, Toby",102,"29yr 2mth","31 Jan 1996","181cm","83kg","Oakleigh Chargers","Midfield Forward","Western Bulldogs"
30,"McNeil, Lachlan R",57,"23yr 6mth","2 Sep 2001","184cm","79kg","Woodville-West Torrens","Forward","Western Bulldogs"
33,"Naughton, Aaron",146,"25yr 4mth","30 Nov 1999","196cm","92kg","Peel Thunder","Forward","Western Bulldogs"
22,"O'Brien, Tim",115,"31yr","28 Mar 1994","193cm","92kg","Glenelg","Defender","Western Bulldogs"
25,"Parker, Charlie R",0,"27yr 5mth","13 Oct 1997","193cm","85kg","Sturt","Midfield Forward","Western Bulldogs"
40,"Raak, Cody R",0,"22yr 5mth","8 Oct 2002","193cm","83kg","Western Jets","Defender Forward","Western Bulldogs"
20,"Richards, Ed",128,"25yr 8mth","3 Jul 1999","188cm","89kg","Oakleigh Chargers","Midfield","Western Bulldogs"
19,"Schache, Josh",76,"27yr 7mth","21 Aug 1997","199cm","94kg","Murray Bushrangers","Forward","Western Bulldogs"
28,"Scott, Anthony",59,"30yr 1mth","28 Feb 1995","181cm","79kg","Footscray","Midfield Forward","Western Bulldogs"
3,"Smith, Bailey",105,"24yr 3mth","7 Dec 2000","185cm","86kg","Sandringham Dragons","Midfield Forward","Western Bulldogs"
37,"Smith, Roarke R",47,"28yr 6mth","11 Sep 1996","184cm","82kg","Calder Cannons","Midfield","Western Bulldogs"
24,"Sweet, Jordon R",31,"27yr 1mth","2 Feb 1998","206cm","106kg","North Adelaide","Ruck","Western Bulldogs"
1,"Treloar, Adam",254,"32yr","9 Mar 1993","185cm","84kg","Aspendale","Midfield","Western Bulldogs"
2,"Ugle-Hagan, Jamarra",67,"22yr 11mth","4 Apr 2002","197cm","91kg","Oakleigh Chargers","Forward","Western Bulldogs"
23,"Vandermeer, Laitham",71,"26yr 1mth","3 Feb 1999","182cm","78kg","Murray Bushrangers","Forward","Western Bulldogs"
3,"Wallis, Mitchell",162,"32yr 5mth","24 Oct 1992","186cm","86kg","Calder Cannons","Forward","Western Bulldogs"
3,"Weightman, Cody",76,"24yr 2mth","15 Jan 2001","179cm","75kg","Dandenong Stingrays","Forward","Western Bulldogs"
14,"West, Rhylee",61,"24yr 8mth","12 Jul 2000","183cm","82kg","Calder Cannons","Forward","Western Bulldogs"
34,"Williams, Bailey",154,"27yr 5mth","10 Oct 1997","190cm","88kg","Glenelg","Midfield","Western Bulldogs"
