gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2020QF02,2020,QF,2020-10-02,Brisbane Lions,Richmond,10.9,8.6,Gabba,22104.0,29.0,15.5,0.0
2020EF01,2020,EF,2020-10-03,St Kilda,Western Bulldogs,10.7,9.1,Gabba,10561.0,27.6,16.6,0.0
2020EF02,2020,EF,2020-10-03,West Coast,Collingwood,11.9,12.4,Perth Stadium,32865.0,17.6,6.6,2.8
2020SF01,2020,SF,2020-10-09,Richmond,St Kilda,12.8,6.13,Carrara,13778.0,28.3,16.7,0.0
2020SF02,2020,SF,2020-10-10,Geelong,Collingwood,15.1,5.2,Gabba,21396.0,28.2,14.7,0.0
2020PF01,2020,PF,2020-10-16,Port Adelaide,Richmond,6.4,6.1,Adelaide Oval,24292.0,20.4,14.6,0.2
2020PF02,2020,PF,2020-10-17,Brisbane Lions,Geelong,6.6,11.16,Gabba,29121.0,28.1,16.9,0.0
2020GF01,2020,GF,2020-10-24,Richmond,Geelong,12.9,7.8,Gabba,29707.0,26.8,21.6,0.4
2021R0101,2021,R1,2021-03-18,Richmond,Carlton,15.15,11.14,M.C.G.,49218.0,26.3,13.1,0.0
2021R0102,2021,R1,2021-03-19,Collingwood,Western Bulldogs,7.11,10.9,M.C.G.,46051.0,26.9,13.1,0.0
2021R0103,2021,R1,2021-03-20,Melbourne,Fremantle,11.14,8.1,M.C.G.,21365.0,25.2,14.4,0.0
2021R0104,2021,R1,2021-03-20,Adelaide,Geelong,15.13,13.13,Adelaide Oval,26985.0,32.5,19.4,0.0
2021R0105,2021,R1,2021-03-20,Essendon,Hawthorn,13.13,14.8,Docklands,25128.0,25.2,14.4,0.0
2021R0106,2021,R1,2021-03-20,Brisbane Lions,Sydney,14.1,19.11,Gabba,22762.0,28.6,21.9,20.8
2021R0107,2021,R1,2021-03-21,North Melbourne,Port Adelaide,9.11,17.15,Docklands,13050.0,20.5,16.4,3.2
2021R0108,2021,R1,2021-03-21,Greater Western Sydney,St Kilda,11.12,13.8,Sydney Showground,5014.0,20.4,19.2,114.4
2021R0109,2021,R1,2021-03-21,West Coast,Gold Coast,12.11,8.1,Perth Stadium,38493.0,37.6,16.2,0.0
2021R0201,2021,R2,2021-03-25,Carlton,Collingwood,13.7,16.1,M.C.G.,51723.0,20.5,14.7,3.8
2021R0202,2021,R2,2021-03-26,Geelong,Brisbane Lions,12.9,11.14,Kardinia Park,20070.0,22.3,11.2,0.4
2021R0203,2021,R2,2021-03-27,Sydney,Adelaide,18.13,11.22,S.C.G.,23946.0,27.8,17.2,0.0
2021R0204,2021,R2,2021-03-27,Port Adelaide,Essendon,18.11,9.11,Adelaide Oval,29978.0,20.8,15.9,3.8
2021R0205,2021,R2,2021-03-27,St Kilda,Melbourne,11.7,12.19,Docklands,25903.0,21.7,13.5,4.2
2021R0206,2021,R2,2021-03-27,Gold Coast,North Melbourne,14.14,5.9,Carrara,6661.0,29.8,20.0,0.0
2021R0207,2021,R2,2021-03-28,Hawthorn,Richmond,7.7,11.12,M.C.G.,41051.0,19.7,11.5,0.1
2021R0208,2021,R2,2021-03-28,Western Bulldogs,West Coast,14.16,14.9,Docklands,21391.0,19.7,11.5,0.1
2021R0209,2021,R2,2021-03-28,Fremantle,Greater Western Sydney,11.21,7.14,Perth Stadium,27625.0,33.2,12.7,0.0
2021R0301,2021,R3,2021-04-01,Collingwood,Brisbane Lions,11.6,11.7,Docklands,28057.0,29.6,10.0,0.0
2021R0302,2021,R3,2021-04-02,North Melbourne,Western Bulldogs,5.9,25.17,Docklands,28483.0,30.9,11.2,0.0
2021R0303,2021,R3,2021-04-02,Adelaide,Gold Coast,14.11,12.13,Adelaide Oval,30175.0,32.3,12.8,0.0
2021R0304,2021,R3,2021-04-03,Richmond,Sydney,10.12,17.15,M.C.G.,43637.0,31.7,15.3,0.0
2021R0305,2021,R3,2021-04-03,Essendon,St Kilda,22.11,9.14,Docklands,29234.0,31.7,15.3,0.0
2021R0306,2021,R3,2021-04-03,West Coast,Port Adelaide,16.12,11.5,Perth Stadium,42090.0,31.0,17.9,0.0
2021R0307,2021,R3,2021-04-04,Carlton,Fremantle,16.13,9.1,Docklands,24551.0,25.2,16.2,0.0
2021R0308,2021,R3,2021-04-04,Greater Western Sydney,Melbourne,11.2,15.12,Manuka Oval,9563.0,28.1,5.8,0.0
2021R0309,2021,R3,2021-04-05,Geelong,Hawthorn,10.9,9.1,M.C.G.,50030.0,19.6,15.1,0.0
2021R0401,2021,R4,2021-04-08,Sydney,Essendon,11.17,12.8,S.C.G.,28039.0,25.5,18.4,5.2
2021R0402,2021,R4,2021-04-09,Port Adelaide,Richmond,11.13,11.11,Adelaide Oval,33742.0,20.7,14.4,0.8
2021R0403,2021,R4,2021-04-10,Western Bulldogs,Brisbane Lions,10.13,8.6,Eureka Stadium,7387.0,14.8,8.1,0.6
2021R0404,2021,R4,2021-04-10,St Kilda,West Coast,15.12,13.4,Docklands,16710.0,18.2,11.6,0.4
2021R0405,2021,R4,2021-04-10,Gold Coast,Carlton,8.11,9.16,Carrara,11618.0,32.9,18.3,0.0
2021R0406,2021,R4,2021-04-10,Collingwood,Greater Western Sydney,9.6,14.6,M.C.G.,29866.0,18.2,11.6,0.4
2021R0407,2021,R4,2021-04-11,North Melbourne,Adelaide,10.8,16.13,Docklands,13479.0,15.0,7.0,4.2
2021R0408,2021,R4,2021-04-11,Melbourne,Geelong,12.13,9.6,M.C.G.,33728.0,15.0,7.0,4.2
2021R0409,2021,R4,2021-04-11,Fremantle,Hawthorn,13.18,12.9,Perth Stadium,29490.0,22.7,16.3,4.4
2021R0501,2021,R5,2021-04-15,St Kilda,Richmond,7.6,20.14,Docklands,32056.0,20.4,10.4,0.1
2021R0502,2021,R5,2021-04-16,West Coast,Collingwood,16.7,11.1,Perth Stadium,54159.0,26.0,10.6,0.0
2021R0503,2021,R5,2021-04-17,Western Bulldogs,Gold Coast,17.16,8.8,Docklands,18920.0,17.4,11.2,0.0
2021R0504,2021,R5,2021-04-17,Sydney,Greater Western Sydney,10.9,9.17,S.C.G.,33541.0,19.7,14.7,0.0
2021R0505,2021,R5,2021-04-17,Carlton,Port Adelaide,9.14,15.6,M.C.G.,32893.0,17.4,11.2,0.0
2021R0506,2021,R5,2021-04-17,Brisbane Lions,Essendon,15.12,6.9,Gabba,23544.0,24.7,19.5,0.0
2021R0507,2021,R5,2021-04-18,Adelaide,Fremantle,11.6,12.12,Adelaide Oval,31454.0,19.7,14.2,0.0
2021R0508,2021,R5,2021-04-18,Hawthorn,Melbourne,8.6,15.14,M.C.G.,36337.0,18.5,12.1,0.0
2021R0509,2021,R5,2021-04-18,Geelong,North Melbourne,10.17,7.5,Kardinia Park,21282.0,18.8,11.5,0.0
